Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2016,Total,Both Sexes,Abilene (TX),City proper,Estimate - de jure,"Final figure, complete",2017,122225,"1,2"
United States of America,2016,Total,Both Sexes,Akron (OH),City proper,Estimate - de jure,"Final figure, complete",2017,197633,"1,2"
United States of America,2016,Total,Both Sexes,Albuquerque (NM),City proper,Estimate - de jure,"Final figure, complete",2017,559277,"1,2"
United States of America,2016,Total,Both Sexes,Alexandria (VA),City proper,Estimate - de jure,"Final figure, complete",2017,155810,"1,2"
United States of America,2016,Total,Both Sexes,Allentown (PA),City proper,Estimate - de jure,"Final figure, complete",2017,120443,"1,2"
United States of America,2016,Total,Both Sexes,Amarillo (TX),City proper,Estimate - de jure,"Final figure, complete",2017,199582,"1,2"
United States of America,2016,Total,Both Sexes,Anaheim (CA),City proper,Estimate - de jure,"Final figure, complete",2017,351043,"1,2"
United States of America,2016,Total,Both Sexes,Anchorage (AK),City proper,Estimate - de jure,"Final figure, complete",2017,298192,"1,2"
United States of America,2016,Total,Both Sexes,Ann Arbor (MI),City proper,Estimate - de jure,"Final figure, complete",2017,120782,"1,2"
United States of America,2016,Total,Both Sexes,Antioch (CA),City proper,Estimate - de jure,"Final figure, complete",2017,110898,"1,2"
United States of America,2016,Total,Both Sexes,Arlington (TX),City proper,Estimate - de jure,"Final figure, complete",2017,392772,"1,2"
United States of America,2016,Total,Both Sexes,Arvada (CO),City proper,Estimate - de jure,"Final figure, complete",2017,117453,"1,2"
United States of America,2016,Total,Both Sexes,Athens (GA),City proper,Estimate - de jure,"Final figure, complete",2017,123371,"1,2"
United States of America,2016,Total,Both Sexes,Atlanta (GA),City proper,Estimate - de jure,"Final figure, complete",2017,472522,"1,2"
United States of America,2016,Total,Both Sexes,Augusta (GA),City proper,Estimate - de jure,"Final figure, complete",2017,197081,"1,2"
United States of America,2016,Total,Both Sexes,Aurora (CO),City proper,Estimate - de jure,"Final figure, complete",2017,361710,"1,2"
United States of America,2016,Total,Both Sexes,Aurora (IL),City proper,Estimate - de jure,"Final figure, complete",2017,201110,"1,2"
United States of America,2016,Total,Both Sexes,Austin (TX),City proper,Estimate - de jure,"Final figure, complete",2017,947890,"1,2"
United States of America,2016,Total,Both Sexes,Bakersfield (CA),City proper,Estimate - de jure,"Final figure, complete",2017,376380,"1,2"
United States of America,2016,Total,Both Sexes,Baltimore (MD),City proper,Estimate - de jure,"Final figure, complete",2017,614664,"1,2"
